"group","overall_cause","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"White: 25-34","All other deaths",0,123.196160534753,123.873076671913,125.236823994143,123.195464098542,124.449780100505,128.477735201216,133.765968752056,131.818206122238,129.219470199403,124.579466567722
"White: 35-44","All other deaths",0,248.361245525742,249.701520172129,246.839411354176,247.229612917352,250.406613866033,248.859616268165,258.368383593759,253.680298912809,249.788803946364,251.024417253653
"White: 45-54","All other deaths",0,675.229013337235,679.635392776437,672.280453716783,678.917365655608,679.783411894862,675.179361971837,671.262707367711,656.54387645983,648.298438230423,637.04567410628
"White: 55-64","All other deaths",0,1539.30786236514,1552.66968488074,1557.05008127051,1563.61198138034,1586.29353396407,1598.54415718682,1606.84197980119,1612.6128545293,1613.08015099208,1604.98010605615
"Hispanic: 25-34","All other deaths",0,110.304042605252,106.442650760097,109.994349820658,107.468529928209,107.340055972051,114.906686465529,124.190786874823,122.205221421761,118.775665627045,123.824314145577
"Hispanic: 35-44","All other deaths",0,175.08666349927,170.821753949307,169.439042311729,175.604921247118,178.209185853364,177.115954654274,181.860876193713,183.95674100312,185.908613572534,192.564673172151
"Hispanic: 45-54","All other deaths",0,452.338047584983,450.542600831499,440.960378725922,444.059814438384,438.650169143843,435.749209738203,433.941828497671,433.418347365589,429.402628374747,429.583571842341
"Hispanic: 55-64","All other deaths",0,1113.508946346,1091.04596324916,1115.48140473184,1095.47460376259,1094.56685403618,1091.79337780232,1102.92495503938,1086.81915834702,1087.6686064241,1071.20652726982
"Black: 25-34","All other deaths",0,284.341642861621,281.158483516047,276.628395391868,281.205902091692,271.462211813777,288.946017578866,299.595611420188,296.282442208657,291.432397455191,289.83410126185
"Black: 35-44","All other deaths",0,478.267303302123,471.20290605506,465.856898842285,465.777762285111,467.7429735987,477.10732990651,493.044156717447,493.766734805516,500.734448220808,504.881843973877
"Black: 45-54","All other deaths",0,1140.98397000661,1120.16470832272,1105.76758814568,1080.17217721909,1070.09906497035,1066.86421089641,1068.50668994407,1043.57014986598,1049.03233578191,1030.94508942173
"Black: 55-64","All other deaths",0,2518.56347776698,2484.97792196958,2478.88487389994,2495.23808236174,2493.17728560932,2493.80374242694,2493.33311451421,2494.19501612659,2468.45033417764,2439.36480887668
"AAPI: 25-34","All other deaths",0,55.8700594989078,52.675892710424,53.1799142577129,50.9231664515725,53.7620146607599,53.0634053837247,52.6205152938938,53.3323002964055,52.9190121889078,55.8431370928352
"AAPI: 35-44","All other deaths",0,104.831046706127,108.95318114345,113.105809178647,110.352578124386,107.792694932591,109.867665365202,117.86614113693,108.237780751031,109.600510499991,108.539748278707
"AAPI: 45-54","All other deaths",0,294.083382933251,301.313767849025,304.828900124569,304.312431671877,294.703942273562,292.825658876479,292.098347523682,303.891337019788,289.329975047185,294.079820797641
"AAPI: 55-64","All other deaths",0,731.212540341171,729.820177201475,736.403953403694,736.233546505738,740.004606161057,734.892147032956,754.89626775062,734.180907054129,751.443203139203,736.798163222709
"AIAN: 25-34","All other deaths",0,182.041062004067,193.369416909884,201.723919788012,188.404705915312,187.861345985406,210.352919862918,209.624096975634,231.481848996991,219.276449833524,200.928649051212
"AIAN: 35-44","All other deaths",0,292.449537832247,290.327790711874,300.703219339716,313.330988948464,322.808433370322,339.890619886361,355.539806283959,358.119890103667,349.030727031775,365.23883997712
"AIAN: 45-54","All other deaths",0,572.544052921074,598.254010582605,580.802608816122,597.388138350481,653.152125300061,668.524708562116,663.327517961994,651.720591966819,656.095163001684,663.231812846884
"AIAN: 55-64","All other deaths",0,1108.17605005948,1075.48962308218,1086.07888223833,1113.93224039994,1162.59331177623,1183.00070665971,1187.80291823099,1213.44922267621,1206.22317026421,1199.15119642585
