"group","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","change"
"AIAN: 30-39",231.276996129133,224.256783767709,230.636920217936,233.390264071037,228.201342921091,231.00630478183,269.707317614589,267.139316429068,292.956654262681,278.52793222134,283.526586668372,"+22"
"AIAN: 40-49",435.867985985558,409.781123981435,419.922072153918,411.667008789445,437.207584104381,464.274595267746,462.773274744416,469.030211063595,466.71874687018,469.848071757156,483.794491814872,"+22"
"AIAN: 50-59",757.897828725139,819.735489406436,793.781042441254,807.214665878179,810.412618397641,858.005344951329,895.31729987554,902.642989322041,920.387574034958,921.867972150666,910.921450919304,"+22"
"AIAN: 60-69",1533.19270065572,1528.74498043003,1538.60072376357,1553.18702361408,1559.56996343039,1612.64954755638,1602.19958757733,1598.38968559279,1619.72239294039,1627.15737810378,1628.49917306195,"+22"
"Hispanic: 30-39",138.900188260709,127.54203943953,125.707102451288,124.057209305443,128.804614295762,126.686193463093,134.02969164297,141.865361458171,144.16537950177,143.665865744733,149.450975089229,"+11"
"Hispanic: 40-49",293.579659501739,281.186747645723,273.263877425389,268.716995951304,271.832258791657,268.553190132224,267.147528665535,267.134781627989,267.810620213956,269.388508256778,278.586857819834,"+11"
"Hispanic: 50-59",707.546796872265,709.941278721076,711.541645575698,713.920652220765,704.74634019282,701.883386460466,696.823222000375,707.387096099842,693.645559336953,693.818629523594,683.766327667186,"+11"
"Hispanic: 60-69",1623.5168353814,1693.94850893894,1658.80397248993,1669.98289213439,1669.75406367016,1657.9961416577,1678.79892790744,1666.01216607996,1663.05492818183,1648.39223434495,1634.88883029254,"+11"
"White: 30-39",173.956596841692,163.940989742793,164.733833138082,163.057892897307,162.821981383571,166.528037564228,169.780173343501,179.636254707326,178.311461629587,178.213239339604,174.395272428864,"+9"
"White: 40-49",442.896618554147,416.873158169541,412.948126329212,402.974533671223,403.515251832302,403.786918073265,399.004790580837,408.269469916985,399.074433294839,397.22713729392,392.765461329236,"+9"
"White: 50-59",1027.74227802967,1026.94734141104,1039.42330237684,1042.30593728997,1054.8300961737,1067.67223092193,1074.24699982542,1077.1618933509,1072.74204131652,1062.18193390834,1046.25119381803,"+9"
"White: 60-69",2276.38439734348,2327.85783543269,2313.2541314897,2313.49974450279,2320.06342043264,2322.27219373538,2346.17341956271,2348.39146032229,2349.03934143071,2340.795451892,2330.860746896,"+9"
"Black: 30-39",368.147716590595,353.060620591328,344.607683614038,345.258664063617,347.875987298797,346.836963458856,362.160587868688,376.496442631529,372.439860920197,373.459884312557,376.261464778364,"+5"
"Black: 40-49",779.334554810117,725.567354468964,709.809339797376,691.896459686797,689.907099918579,679.794007259369,681.636350712262,698.869193992193,695.56516287697,709.592426400367,706.006155158063,"+5"
"Black: 50-59",1763.84402481176,1743.28536649646,1703.63537660966,1701.28417231753,1671.35281509106,1665.13866089676,1668.48777280331,1656.81268700732,1647.33549839431,1630.77556957801,1605.35322317043,"+5"
"Black: 60-69",3448.08624676943,3532.12517858273,3482.3185756573,3440.84473091889,3477.65724808655,3482.05254045116,3486.57605911285,3557.25095820216,3565.98682674032,3554.92493241041,3498.54199927995,"+5"
"AAPI: 30-39",71.8456963005899,70.4913947680623,71.6294168298649,71.2117006898553,68.125252242876,69.9807384893145,71.0191964888109,77.6552461608401,72.232482238232,74.7012958734541,77.031630654816,"+4"
"AAPI: 40-49",178.827396543915,177.582297177204,185.22308021017,183.140188466315,187.484704355136,176.466152878764,179.215865072696,182.293769548113,183.623296108153,176.599090080528,178.201326384873,"+4"
"AAPI: 50-59",458.344385881955,467.090315660789,474.109172593419,480.857512688042,470.551103663359,476.261285542171,466.836080325499,473.843637257057,477.279759580648,476.497343225361,472.020593390799,"+4"
"AAPI: 60-69",1081.55088877622,1123.33080468271,1099.35968679865,1103.64329469387,1114.8132678211,1111.63941234179,1127.86307633281,1147.58137488124,1139.83250702709,1140.34037628938,1113.63069841508,"+4"
