Gender,Race,Age,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALL,White,ALL,202338968,202600136,202918865,203137435,203418437,203630869,203813473,203884511,203832014,203768170
ALL,White,0-4,11108950,11020123,10918448,10835165,10831533,10835324,10806249,10764943,10681688,10566427
ALL,White,5-9,11551798,11459800,11430206,11375360,11247285,11145513,11061041,10962539,10878303,10871898
ALL,White,10-14,12042776,11973357,11865251,11775362,11698118,11573962,11485233,11458781,11403407,11272757
ALL,White,15-19,12853157,12611201,12406122,12257938,12141617,12078080,12009854,11902040,11808293,11727645
ALL,White,20-24,12902206,13057902,13187430,13201564,13129796,12928850,12684201,12470991,12309004,12182810
ALL,White,25-29,12614810,12650247,12665616,12710312,12850628,13003978,13169167,13278573,13270434,13180288
ALL,White,30-34,11864849,12126727,12335018,12519513,12618280,12662726,12710360,12717836,12747317,12870554
ALL,White,35-39,12137690,11657094,11489649,11514097,11643100,11853682,12119817,12320375,12493232,12580824
ALL,White,40-44,13435543,13403226,13218723,12923914,12524792,12079490,11604448,11431568,11447793,11565831
ALL,White,45-49,15492201,14936411,14414785,13890438,13469116,13283614,13257073,13073635,12778145,12379248
ALL,White,50-54,15999633,16051675,15920174,15734375,15540418,15184377,14642883,14131249,13617106,13203847
ALL,White,55-59,14694638,14928581,15186240,15373194,15459358,15523086,15570217,15437649,15253466,15064699
ALL,White,60-64,13059784,13623403,13464990,13589746,13811265,14085605,14302540,14540656,14711815,14791372
ALL,White,65-69,9825806,10054497,10934494,11333452,11809332,12292411,12819514,12667658,12782343,12989524
ALL,White,70-74,7356310,7551324,7862154,8339826,8680563,8960076,9170929,9986538,10360404,10799519
ALL,White,75-79,5894950,5905003,5952104,6074804,6239196,6359195,6539131,6812766,7241575,7540542
ALL,White,80-85,4781262,4764619,4729062,4674604,4629869,4623803,4645255,4685633,4792633,4926541
ALL,White,85+,4722605,4824946,4938399,5013771,5094171,5157097,5215561,5241081,5255056,5253844
M,White,ALL,99493870,99670803,99892699,100052545,100230667,100380727,100498166,100552874,100534346,100511947
M,White,0-4,5691598,5646337,5594792,5553896,5555562,5559563,5543436,5522552,5480344,5418592
M,White,5-9,5921568,5875639,5860365,5829840,5761886,5708770,5666111,5616887,5576012,5576451
M,White,10-14,6181340,6142457,6086989,6039823,5998507,5932489,5887839,5873826,5842992,5774016
M,White,15-19,6591326,6481199,6375753,6295773,6233717,6198851,6160360,6105119,6055823,6012536
M,White,20-24,6540755,6624622,6710808,6740477,6719547,6634754,6521358,6408102,6317565,6249484
M,White,25-29,6358185,6379326,6399072,6429672,6510803,6596084,6685852,6752798,6765697,6732791
M,White,30-34,5977076,6107203,6213975,6307412,6356707,6379786,6409991,6420692,6439227,6508734
M,White,35-39,6096656,5856105,5775025,5791197,5858688,5966345,6099285,6198570,6283025,6324885
M,White,40-44,6734157,6720686,6632804,6482923,6283871,6062195,5824852,5737900,5748294,5808169
M,White,45-49,7706154,7434610,7180913,6928592,6725899,6641461,6631924,6544000,6393515,6194287
M,White,50-54,7920302,7946041,7880771,7788222,7693467,7517736,7255456,7007945,6761740,6564237
M,White,55-59,7206329,7321706,7447876,7543293,7589299,7625216,7649080,7583987,7493640,7402631
M,White,60-64,6358508,6625706,6543620,6596710,6698178,6828088,6933605,7049084,7135711,7179079
M,White,65-69,4694471,4813011,5245671,5442129,5671735,5902006,6145432,6065020,6110660,6203666
M,White,70-74,3418533,3514573,3667287,3899320,4062368,4199800,4306818,4701179,4882251,5090163
M,White,75-79,2608915,2627296,2660317,2726210,2810864,2873062,2959623,3091006,3294591,3434638
M,White,80-85,1941064,1953141,1956054,1949740,1944108,1954376,1975643,2003316,2058605,2125834
M,White,85+,1546933,1601145,1660607,1707316,1755461,1800145,1841501,1870891,1894654,1911754
F,White,ALL,102845098,102929333,103026166,103084890,103187770,103250142,103315307,103331637,103297668,103256223
F,White,0-4,5417352,5373786,5323656,5281269,5275971,5275761,5262813,5242391,5201344,5147835
F,White,5-9,5630230,5584161,5569841,5545520,5485399,5436743,5394930,5345652,5302291,5295447
F,White,10-14,5861436,5830900,5778262,5735539,5699611,5641473,5597394,5584955,5560415,5498741
F,White,15-19,6261831,6130002,6030369,5962165,5907900,5879229,5849494,5796921,5752470,5715109
F,White,20-24,6361451,6433280,6476622,6461087,6410249,6294096,6162843,6062889,5991439,5933326
F,White,25-29,6256625,6270921,6266544,6280640,6339825,6407894,6483315,6525775,6504737,6447497
F,White,30-34,5887773,6019524,6121043,6212101,6261573,6282940,6300369,6297144,6308090,6361820
F,White,35-39,6041034,5800989,5714624,5722900,5784412,5887337,6020532,6121805,6210207,6255939
F,White,40-44,6701386,6682540,6585919,6440991,6240921,6017295,5779596,5693668,5699499,5757662
F,White,45-49,7786047,7501801,7233872,6961846,6743217,6642153,6625149,6529635,6384630,6184961
F,White,50-54,8079331,8105634,8039403,7946153,7846951,7666641,7387427,7123304,6855366,6639610
F,White,55-59,7488309,7606875,7738364,7829901,7870059,7897870,7921137,7853662,7759826,7662068
F,White,60-64,6701276,6997697,6921370,6993036,7113087,7257517,7368935,7491572,7576104,7612293
F,White,65-69,5131335,5241486,5688823,5891323,6137597,6390405,6674082,6602638,6671683,6785858
F,White,70-74,3937777,4036751,4194867,4440506,4618195,4760276,4864111,5285359,5478153,5709356
F,White,75-79,3286035,3277707,3291787,3348594,3428332,3486133,3579508,3721760,3946984,4105904
F,White,80-85,2840198,2811478,2773008,2724864,2685761,2669427,2669612,2682317,2734028,2800707
F,White,85+,3175672,3223801,3277792,3306455,3338710,3356952,3374060,3370190,3360402,3342090
ALL,Hispanic,ALL,49028696,50124405,51172820,52216975,53295104,54439752,55614038,56717540,57766778,58679690
ALL,Hispanic,0-4,4984085,5018897,4998184,4971984,4983928,4995922,5002833,5010114,4996866,4964754
ALL,Hispanic,5-9,4663031,4753482,4871287,4977702,5036541,5091627,5136913,5128581,5112192,5118907
ALL,Hispanic,10-14,4396000,4478381,4548532,4624782,4709870,4787321,4888291,5014914,5128101,5178015
ALL,Hispanic,15-19,4380633,4405566,4413277,4438711,4480780,4563737,4657865,4737617,4818732,4893031
ALL,Hispanic,20-24,4176828,4276652,4394806,4489626,4580416,4623363,4643601,4649392,4670281,4696289
ALL,Hispanic,25-29,4148234,4173890,4184955,4213074,4269427,4359938,4475587,4601618,4698568,4773961
ALL,Hispanic,30-34,3989709,4063474,4136476,4201397,4251684,4272773,4317388,4341330,4376927,4422448
ALL,Hispanic,35-39,3727877,3775358,3834254,3896683,3956362,4058001,4145374,4228279,4301890,4346636
ALL,Hispanic,40-44,3337059,3434527,3529501,3607582,3682724,3748048,3808417,3877254,3946128,3999677
ALL,Hispanic,45-49,2933545,3020006,3091371,3166402,3231321,3322861,3425973,3525920,3607711,3678893
ALL,Hispanic,50-54,2382944,2484266,2586307,2694235,2804369,2896058,2985558,3058829,3134564,3195282
ALL,Hispanic,55-59,1806157,1907908,2018190,2118205,2218947,2332036,2432242,2533679,2641312,2748015
ALL,Hispanic,60-64,1352697,1436853,1498180,1571225,1658408,1755507,1853925,1960483,2057383,2152206
ALL,Hispanic,65-69,935188,991691,1070744,1144098,1218999,1300642,1380863,1439467,1509264,1589577
ALL,Hispanic,70-74,690489,718675,750829,791819,833997,882165,935860,1010517,1079517,1148119
ALL,Hispanic,75-79,503748,523956,545913,572630,600635,626957,654119,684478,722718,760329
ALL,Hispanic,80-85,349625,367874,384342,397295,411108,427874,446725,466623,491045,515185
ALL,Hispanic,85+,270847,292949,315672,339525,365588,394922,422504,448445,473579,498366
M,Hispanic,ALL,24843560,25364050,25870102,26376381,26907589,27479774,28065599,28614435,29132425,29585002
M,Hispanic,0-4,2541541,2558334,2547106,2532155,2539428,2546326,2550101,2554421,2548333,2531981
M,Hispanic,5-9,2377362,2422469,2482409,2537744,2567856,2594266,2616929,2612594,2603114,2607720
M,Hispanic,10-14,2244888,2283600,2316198,2352087,2394903,2434977,2487899,2554337,2614668,2640902
M,Hispanic,15-19,2265146,2271128,2268825,2275767,2292801,2333054,2378934,2417347,2456225,2493328
M,Hispanic,20-24,2217219,2255190,2306787,2345721,2383468,2398501,2401921,2397775,2401243,2409098
M,Hispanic,25-29,2185740,2200570,2207195,2222590,2251608,2294798,2348157,2406586,2447656,2477782
M,Hispanic,30-34,2070143,2108751,2149427,2184809,2213885,2228294,2259208,2276462,2298528,2323162
M,Hispanic,35-39,1900644,1924696,1955731,1992539,2027436,2087383,2136354,2184074,2225227,2252690
M,Hispanic,40-44,1706349,1749998,1793808,1827922,1862322,1894585,1927815,1965944,2007302,2039883
M,Hispanic,45-49,1479484,1526515,1563532,1603897,1638380,1684600,1732215,1779372,1815823,1848630
M,Hispanic,50-54,1180457,1232445,1286029,1341725,1398183,1446676,1495529,1533827,1574966,1607857
M,Hispanic,55-59,871715,921709,976650,1027735,1080481,1140352,1192234,1245670,1300945,1355575
