"group","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","overall_cause"
"White: 25-29",96.7909940775961,97.4885868277049,99.8162328371928,101.447888519595,99.9975453002255,103.162273470215,111.08139370891,123.295573668403,126.828387357587,119.476122634723,114.951964630818,"Total"
"White: 30-34",111.017004936177,112.609945562729,117.896609695262,118.159535721796,120.068568162356,125.920489955842,136.558273471289,151.168023565029,158.596163686967,152.557593099787,149.56621136899,"Total"
"White: 35-39",151.610397036009,144.953446660773,146.940566834238,148.272588657843,149.008645662791,156.204103718082,165.00358285299,182.213972372685,187.185860819983,186.605035430383,187.722203251552,"Total"
"White: 40-44",220.683302491012,205.827185399206,209.136218399958,205.799001915692,209.201330185267,213.400749489493,219.222831427486,230.21344918776,233.782452241022,228.489456439333,231.881306237312,"Total"
"White: 45-49",341.029657438604,329.514185879721,330.132854539153,323.383248518795,323.258345057226,323.807442151363,321.674508157193,327.146120414363,327.667094882181,326.573223265192,323.977676188408,"Total"
"White: 50-54",492.061286655763,486.223652755035,493.879922188806,492.783558772662,498.799602780536,501.981349536415,506.612816581148,507.044958291342,501.97969054257,490.838508564155,484.33611810255,"Total"
"White: 55-59",678.17254157605,689.360295912019,701.801463916765,707.693280232632,717.788378914622,731.589241933591,737.417804681363,742.398130995862,745.333696860189,742.034630030971,733.243989806899,"Total"
"White: 60-64",963.048087165913,988.875466853051,990.618863730303,1000.06015600457,1005.91284046074,1021.09401274974,1031.32950270862,1039.24198079502,1046.10135883828,1048.53140146202,1051.19389871339,"Total"
"Hispanic: 25-29",77.9367798441457,72.6092115343541,70.0305949605763,72.545582927415,72.5361102131128,77.3171669172467,79.3818627696082,90.6920142542196,91.9893828648966,92.1131715024663,95.6647949155848,"Total"
"Hispanic: 30-34",82.8882507471096,78.7275462947298,80.4976234620918,80.7692344884873,81.4490989544668,79.615512347578,89.9181866202581,99.6435807946842,101.282325923162,101.349645538982,109.871274913803,"Total"
"Hispanic: 35-39",102.498016967835,95.3357634921968,95.9908967573406,93.6557671974783,98.8276439217663,101.962358348402,104.879225017441,115.960586427184,120.379946545628,123.108680138265,129.019315166947,"Total"
"Hispanic: 40-44",148.783704453532,140.932479767364,136.874742868523,137.781516423993,138.26435546025,142.720442802665,142.60756532467,147.305297712934,149.513031645592,151.566294859163,161.838068424025,"Total"
"Hispanic: 45-49",236.778368833613,228.42669875526,225.694915837916,220.775830529561,222.555443054925,217.062928752668,217.162258668057,216.376486329577,221.757725643236,221.691815114902,229.117835174875,"Total"
